"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 06:12:45 UTC 2026","Wed Apr 29 06:12:46 UTC 2026","1043","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","012 MobileAccountVerification smoke",""
"passed","Wed Apr 29 06:14:25 UTC 2026","Wed Apr 29 06:14:27 UTC 2026","1233","tests.api.cards","test_card_link_attributes","TestCardLinkAttributes","","","GET /Accounts/{id}/Cards/links -> GET /cards/{token}/cardLink/attributes","
    GET /cards/{token}/cardLink/attributes
    "
"passed","Wed Apr 29 06:13:43 UTC 2026","Wed Apr 29 06:13:43 UTC 2026","761","tests.api.accounts","test_accounts_get","TestAccountsGet","","","GET /accounts/{id} returns account data","
    /accounts/{id}
    "
"passed","Wed Apr 29 06:16:27 UTC 2026","Wed Apr 29 06:16:30 UTC 2026","3165","tests.api.cards","test_cards_show_hide_flow","TestCardsShowHideFlow","","","POST /Cards -> PUT /Cards/hide -> GET /Cards/{id} -> PUT /Cards/show -> GET /Cards/{id}","
    /Cards/hide и /Cards/show
    "
"passed","Wed Apr 29 06:19:09 UTC 2026","Wed Apr 29 06:19:10 UTC 2026","629","tests.api.powerbi_reports","test_powerbi_reports_list","TestPowerBIReportsList","","","GET /powerbireports/ -> 200/204","
    GET /powerbireports/
    "
"passed","Wed Apr 29 06:19:05 UTC 2026","Wed Apr 29 06:19:06 UTC 2026","1885","tests.api.exports","test_exports_statistic","TestExportsStatistic","","","GET /Exports returns 200","
    /Exports
    "
"passed","Wed Apr 29 06:13:44 UTC 2026","Wed Apr 29 06:13:45 UTC 2026","585","tests.api.accounts","test_accounts_subscription_hadpremium","TestAccountsSubscriptionHadPremium","","","GET /accounts/subscription/hadpremium returns boolean flag","
    /accounts/subscription/hadpremium
    "
"passed","Wed Apr 29 06:15:26 UTC 2026","Wed Apr 29 06:15:28 UTC 2026","1802","tests.api.cards","test_cardlinks_update","TestCardLinksUpdate","","","POST /Cards -> PUT /cardlinks/{cardLink} -> GET /cardlinks/{cardLink} -> DELETE /Cards/{id}","
    /cardlinks/{cardLink}
    "
"passed","Wed Apr 29 06:13:51 UTC 2026","Wed Apr 29 06:13:54 UTC 2026","3687","tests.api.cards","test_card_attribute_attachment_upload","TestCardAttributeAttachmentUpload","","","POST card -> PUT attrs -> GET attrs -> PUT /cards/{id}/upload/fromForm -> DELETE","
    PUT /cards/{id}/upload/fromForm
    "
"passed","Wed Apr 29 06:16:24 UTC 2026","Wed Apr 29 06:16:24 UTC 2026","570","tests.api.cards","test_cards_lastupdate","TestCardsLastUpdate","","","GET /Cards/lastupdate returns change list","
    /Cards/lastupdate
    "
"failed","Wed Apr 29 06:12:50 UTC 2026","Wed Apr 29 06:12:53 UTC 2026","2799","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","012 -> 020 smoke with actionJwt",""
"passed","Wed Apr 29 06:13:46 UTC 2026","Wed Apr 29 06:13:47 UTC 2026","1278","tests.api.attachments","test_attachments_flow","TestAttachments","","","POST /Attachments -> DELETE /Attachments/{id}","
    Проверки Attachments API с изображениями, сгенерированными в коде.
    "
"passed","Wed Apr 29 06:19:07 UTC 2026","Wed Apr 29 06:19:08 UTC 2026","565","tests.api.locations","test_location_by_id","TestLocationById","","","GET /Locations/{id} returns location data","
    /Locations/{id}
    "
"passed","Wed Apr 29 06:16:21 UTC 2026","Wed Apr 29 06:16:23 UTC 2026","1118","tests.api.cards","test_cards_download_by_id_v2_flow","TestCardsDownloadByIdV2","","","POST /Cards -> GET /Cards/{id}/download/V2 -> DELETE /Cards/{id}","
    /Cards/{id}/download/V2
    "
"passed","Wed Apr 29 06:14:33 UTC 2026","Wed Apr 29 06:14:35 UTC 2026","2412","tests.api.cards","test_card_link_leadgen_forms","TestCardLinkLeadGenForms","","","POST /Cards -> POST leadGenForm -> GET /Cards/{cardLinkId}/cardLink/leadGenForms -> DELETE leadGenForm -> DELETE /Cards/{id}","
    /Cards/{id}/cardLink/leadGenForms
    "
"passed","Wed Apr 29 06:14:02 UTC 2026","Wed Apr 29 06:14:04 UTC 2026","1954","tests.api.cards","test_card_leadgen_form_by_id","TestCardLeadGenFormById","","","POST /Cards -> POST leadGenForm -> GET /Cards/{cardID}/leadGenForms/{leadGenFormID} -> DELETE leadGenForm -> DELETE /Cards/{id}","
    /Cards/{cardID}/leadGenForms/{leadGenFormID}
    "
"passed","Wed Apr 29 06:13:20 UTC 2026","Wed Apr 29 06:13:26 UTC 2026","6040","tests.api.accounts","test_accounts_card_leadgen_forms_custom_message_template","TestAccountsCardLeadGenFormsCustomMessageTemplate","","","PUT leadGenForm with CustomMessageTemplateID -> GET MessageTemplate","
    /Accounts/{accountID}/Cards/{cardID}/leadGenForms
    "
"passed","Wed Apr 29 06:19:08 UTC 2026","Wed Apr 29 06:19:08 UTC 2026","654","tests.api.locations","test_locations_list","TestLocationsList","","","GET /Locations with locationID returns location map","
    /Locations?locationID=1
    "
"passed","Wed Apr 29 06:19:09 UTC 2026","Wed Apr 29 06:19:09 UTC 2026","598","tests.api.onboarding_statuses","test_onboarding_statuses","TestOnboardingStatuses","","","GET /onboardingStatuses → 200, non-empty list with id and nameRu","
    /onboardingStatuses
    "
"passed","Wed Apr 29 06:19:10 UTC 2026","Wed Apr 29 06:19:11 UTC 2026","563","tests.api.powerbi_reports","test_powerbi_reports_list","TestPowerBIReportsList","","","GET /powerbireports/ without auth -> 401/403","
    GET /powerbireports/
    "
"passed","Wed Apr 29 06:12:55 UTC 2026","Wed Apr 29 06:12:56 UTC 2026","556","tests.api.account_actions","test_account_actions_smoke","TestAccountActionsSmoke","","","015 MobileAccountNotificationSend smoke — random push_token + guid → not 5xx",""
"passed","Wed Apr 29 06:19:11 UTC 2026","Wed Apr 29 06:19:13 UTC 2026","1982","tests.api.proxy","test_proxy_card_cardlink","TestProxyCardCardLink","","","GET /Accounts/{id}/Cards/links -> GET /proxy/card/cardlink/{token}","
    GET /proxy/card/cardlink/{token}
    "
"passed","Wed Apr 29 06:12:59 UTC 2026","Wed Apr 29 06:13:00 UTC 2026","559","tests.api.accounts","test_accounts_accept_user_terms","TestAccountsAcceptUserTerms","","","PUT /accounts/this/acceptUserTerms accepts terms","
    /accounts/this/acceptUserTerms
    "
"passed","Wed Apr 29 06:16:13 UTC 2026","Wed Apr 29 06:16:14 UTC 2026","1528","tests.api.cards","test_cards_designsettings_update_flow","TestCardsDesignsettingsUpdateFlow","","","POST /Cards -> PUT /Cards/{id}/designsettings -> GET /Cards/{id}/designsettings -> DELETE /Cards/{id}","
    /Cards/{cardID}/designsettings
    "
"passed","Wed Apr 29 06:13:49 UTC 2026","Wed Apr 29 06:13:49 UTC 2026","572","tests.api.attributes","test_attribute_by_id","TestAttributeById","","","GET /Attributes/{id} → 200, validate model fields","
    /Attributes/{attributeID}
    "
"passed","Wed Apr 29 06:13:45 UTC 2026","Wed Apr 29 06:13:45 UTC 2026","588","tests.api.accounts","test_get_contact_by_id","","","","GET /accounts/contacts/{contactID}","
    /accounts/contacts/{contactID}
    "
"passed","Wed Apr 29 06:14:28 UTC 2026","Wed Apr 29 06:14:30 UTC 2026","2357","tests.api.cards","test_card_link_leadgen_form_by_id","TestCardLinkLeadGenFormById","","","POST leadGenForm -> GET /Cards/{cardLinkId}/cardLink/leadGenForms/{formId} -> DELETE","
    GET /Cards/{cardLinkId}/cardLink/leadGenForms/{formId}
    "
"passed","Wed Apr 29 06:19:21 UTC 2026","Wed Apr 29 06:19:25 UTC 2026","4595","tests.e2e.company","test_company_create_withlogoandcolor_get_delete_flow","TestCompanyCreateWithLogoAndColorFlow","","","POST /Companies → list → upload logo → update → GET → upload bg → designsettings → GET → DELETE","/Companies — create, upload logo + background, set design, delete flow"
"passed","Wed Apr 29 06:14:10 UTC 2026","Wed Apr 29 06:14:13 UTC 2026","2992","tests.api.cards","test_card_leadgen_forms_crud_flow","TestCardLeadGenFormsCrudFlow","","","POST /Cards -> POST leadGenForm -> GET leadGenForms -> DELETE leadGenForm -> DELETE /Cards/{id}","
    /Cards/{cardID}/leadGenForms
    "
"passed","Wed Apr 29 06:13:02 UTC 2026","Wed Apr 29 06:13:06 UTC 2026","4227","tests.api.accounts","test_accounts_card_attributes_list","TestAccountsCardAttributesList","","","POST /Accounts/{id}/Cards -> GET /accounts/{id}/cards/{cardId}/attributes/ -> DELETE","
    GET /accounts/{id}/cards/{cardId}/attributes/
    "
